iter	Passed	Remaining
404	8362	12285
405	8381	12262
406	8398	12237
407	8418	12214
408	8436	12191
409	8455	12167
410	8472	12142
411	8491	12119
412	8512	12098
413	8529	12073
414	8547	12048
415	8565	12024
416	8584	12001
417	8601	11976
418	8622	11956
419	8641	11933
420	8658	11908
421	8676	11883
422	8694	11859
423	8713	11836
424	8734	11816
425	8751	11792
426	8770	11768
427	8788	11745
428	8806	11721
429	8824	11697
430	8842	11674
431	8861	11650
432	8878	11626
433	8896	11602
434	8914	11578
435	8934	11557
436	8954	11536
437	8972	11513
438	8991	11490
439	9009	11467
440	9028	11444
441	9046	11420
442	9064	11397
443	9083	11374
444	9101	11351
445	9119	11327
446	9137	11304
447	9156	11281
448	9174	11258
449	9192	11235
450	9211	11212
451	9229	11189
452	9247	11166
453	9265	11142
454	9283	11120
455	9302	11097
456	9320	11074
457	9338	11050
458	9356	11028
459	9378	11009
460	9396	10986
461	9415	10964
462	9434	10942
463	9453	10920
464	9470	10896
465	9487	10872
466	9505	10848
467	9523	10825
468	9540	10802
469	9559	10780
470	9581	10760
471	9598	10737
472	9617	10715
473	9634	10691
474	9652	10668
475	9669	10644
476	9687	10621
477	9706	10599
478	9724	10577
479	9743	10555
480	9760	10532
481	9783	10513
482	9800	10490
483	9818	10467
484	9837	10445
485	9854	10422
486	9872	10399
487	9889	10376
488	9908	10354
489	9926	10332
490	9945	10310
491	9963	10287
492	9982	10265
493	10000	10243
494	10020	10222
495	10038	10200
496	10057	10178
497	10074	10155
498	10094	10134
499	10115	10115
500	10135	10095
501	10158	10077
502	10177	10056
503	10197	10035
504	10216	10013
505	10234	9992
506	10252	9969
507	10271	9947
508	10288	9925
509	10307	9903
510	10326	9881
511	10343	9858
512	10360	9835
513	10377	9812
514	10397	9791
515	10417	9771
516	10435	9749
517	10454	9727
518	10473	9706
519	10491	9684
520	10508	9661
521	10526	9639
522	10546	9618
523	10564	9596
524	10583	9575
525	10601	9553
526	10622	9533
527	10641	9512
528	10659	9490
529	10678	9469
530	10704	9454
531	10730	9439
532	10748	9417
533	10767	9396
534	10786	9375
535	10803	9352
536	10821	9330
537	10841	9309
538	10860	9289
539	10878	9267
540	10896	9245
541	10914	9223
542	10934	9202
543	10953	9181
544	10971	9159
545	10989	9137
546	11008	9116
547	11026	9095
548	11045	9073
549	11064	9053
550	11084	9032
551	11101	9009
552	11118	8987
553	11135	8964
554	11153	8943
555	11172	8921
556	11192	8901
557	11211	8880
558	11228	8858
559	11248	8838
560	11266	8816
561	11285	8795
562	11302	8772
563	11320	8751
564	11338	8729
565	11356	8708
566	11375	8686
567	11392	8665
568	11410	8643
569	11429	8622
570	11448	8601
571	11466	8579
572	11485	8558
573	11503	8537
574	11520	8515
575	11538	8493
576	11557	8472
577	11576	8451
578	11593	8430
579	11612	8408
580	11630	8387
581	11649	8366
582	11669	8347
583	11688	8325
584	11708	8305
585	11725	8284
586	11743	8262
587	11760	8240
588	11779	8219
589	11797	8198
590	11816	8177
591	11834	8155
592	11853	8135
593	11872	8114
594	11890	8093
595	11908	8072
596	11926	8050
597	11943	8029
598	11962	8007
599	11980	7987
600	12000	7967
601	12018	7946
602	12036	7924
603	12054	7903
604	12072	7882
605	12092	7862
606	12110	7841
607	12128	7819
608	12147	7798
609	12165	7777
610	12182	7756
611	12200	7734
612	12219	7714
613	12238	7694
614	12256	7672
615	12274	7651
616	12292	7630
617	12312	7610
618	12336	7593
619	12356	7573
620	12376	7553
621	12393	7531
622	12411	7510
623	12430	7490
624	12448	7469
625	12466	7447
626	12484	7426
627	12501	7405
628	12520	7384
629	12540	7364
630	12560	7345
631	12578	7323
632	12596	7302
633	12613	7281
634	12631	7260
635	12649	7239
636	12667	7218
637	12684	7197
638	12702	7176
639	12719	7154
640	12738	7134
641	12760	7115
642	12778	7094
643	12797	7074
644	12814	7053
645	12832	7032
646	12849	7010
647	12868	6990
