iter	Logloss
125	0.2659566794
126	0.2655771533
127	0.2647221472
128	0.2646231249
129	0.2639714684
130	0.2633920424
131	0.2631057863
132	0.2625780711
133	0.2613480367
134	0.2609893946
135	0.2606004989
136	0.2605050957
137	0.2601313128
138	0.2596200541
139	0.2593130746
140	0.2589447711
141	0.2587800213
142	0.2586135439
143	0.2584847162
144	0.2566589141
145	0.25575293
146	0.2553654466
147	0.2542464962
148	0.254234891
149	0.2534820446
150	0.2531009868
151	0.2523608394
152	0.2516137967
153	0.2510814043
154	0.2507957683
155	0.250362003
156	0.2501549276
157	0.2496473025
158	0.2492867027
159	0.248885215
160	0.2484345806
161	0.247678427
162	0.246994828
163	0.2469729253
164	0.2466263217
165	0.245917623
166	0.245179357
167	0.2441273062
168	0.2434447579
169	0.2430729381
170	0.2421086969
171	0.2406638282
172	0.2396561568
173	0.2382527035
174	0.2373779732
175	0.2368491377
176	0.2362074606
177	0.2350499008
178	0.2347195077
179	0.2342844385
180	0.2333168016
181	0.2328355847
182	0.2322991043
183	0.2316022008
184	0.2310584357
185	0.2297152486
186	0.2293740241
187	0.2290801603
188	0.2285310147
189	0.2275865912
190	0.2274216652
191	0.2271749046
192	0.2264481444
193	0.2263111109
194	0.2255613434
195	0.2254373356
196	0.2246945385
197	0.2242787825
198	0.2235868699
199	0.2225417708
200	0.2220578885
201	0.2214847131
202	0.2211585133
203	0.2205071306
204	0.2199684436
205	0.2197771011
206	0.2185855474
207	0.2175679925
208	0.216995928
209	0.2166069149
210	0.2160469021
211	0.2156744021
212	0.2154617532
213	0.2145487006
214	0.214288048
215	0.2138181728
216	0.2136654208
217	0.212889547
218	0.212473
219	0.2120095185
220	0.2115877488
221	0.2110267467
222	0.2105344229
223	0.2099177956
224	0.2091591312
225	0.208136948
226	0.2074579594
227	0.2071625591
228	0.2060702059
229	0.2056842251
230	0.2055571761
231	0.2048204715
232	0.2042657573
233	0.2036175693
234	0.2031884643
235	0.2025572055
236	0.2022455387
237	0.2018531593
238	0.2013660283
239	0.2007704493
240	0.2002650625
241	0.1997333616
242	0.1996035084
243	0.1989582726
244	0.1982519803
245	0.1979720829
246	0.1975942262
247	0.1973143002
248	0.1969854682
249	0.1961846692
250	0.1954558252
251	0.1951665413
252	0.1950101677
253	0.1944897912
254	0.1940961445
255	0.1940034982
256	0.1937522354
257	0.1933269391
258	0.1924235297
259	0.1919401171
260	0.191775393
261	0.1910621409
262	0.190449018
263	0.1901553261
264	0.1894380259
265	0.1888858118
266	0.1882465828
267	0.1879718661
268	0.1875304465
269	0.1870025663
270	0.1863340639
271	0.1861088191
272	0.1858062267
273	0.1856087851
274	0.1852555331
275	0.1848240305
276	0.1845658841
277	0.184132631
278	0.1833221292
279	0.1829701881
280	0.1824558271
281	0.182248707
282	0.1820788983
283	0.1817246694
284	0.1815708159
285	0.1812515601
286	0.1811048987
287	0.1808103176
288	0.1806158747
289	0.1800258094
290	0.1793502094
291	0.1788218672
292	0.1784003635
293	0.1781181212
294	0.1778634275
295	0.1770935283
296	0.1767199906
297	0.1765982512
298	0.1761457706
299	0.1759205705
300	0.1757592765
301	0.1751346436
302	0.1748169521
303	0.1747367796
304	0.1743298793
305	0.1741811812
306	0.1737427457
307	0.1733816748
308	0.1732648774
309	0.1731716892
310	0.1727171942
311	0.1724370811
312	0.1716776932
313	0.1712815809
314	0.1710199361
315	0.1703663408
316	0.1702350437
317	0.1699387302
318	0.1696512565
319	0.1691790612
320	0.1690209896
321	0.1687687446
322	0.1685052976
323	0.1681565974
324	0.1679557799
325	0.1675685495
326	0.1670760044
327	0.1667268961
328	0.1665141806
329	0.1663312622
330	0.1659274169
331	0.1657299053
332	0.1656277231
333	0.1653154881
334	0.1651808108
335	0.164671663
336	0.1645352924
337	0.1638171777
338	0.1633977809
339	0.1631138787
340	0.1629678207
341	0.1623986191
342	0.1617042854
343	0.1613513327
344	0.1609575859
345	0.1608971104
346	0.1604896975
347	0.1602157766
348	0.1596165979
349	0.1594097535
350	0.1589380091
351	0.1589255685
352	0.1584297684
353	0.1581599468
354	0.1578420928
355	0.1574336618
356	0.1569256672
357	0.1567684203
358	0.1566388921
359	0.1563241834
360	0.1557165697
361	0.1549650063
362	0.1544178651
363	0.1540454182
364	0.1539378749
365	0.1533651189
366	0.153068399
367	0.152769789
368	0.1524137371
369	0.1520981689
370	0.1516967238
371	0.1513954113
372	0.1511402909
373	0.1509205991
374	0.1507249964
375	0.1503031785
376	0.1497213003
377	0.1494427747
378	0.1493185771
379	0.1489556019
380	0.1486852494
381	0.148022707
382	0.1479928982
383	0.1473996294
384	0.1472495254
385	0.1468105737
386	0.1467909731
387	0.1467023523
388	0.1465979446
389	0.1463970553
390	0.1459034393
391	0.1455258074
392	0.1453569652
393	0.1452336705
394	0.1450833158
395	0.1448997606
396	0.1442951918
397	0.1442408009
398	0.1439251432
399	0.143513572
400	0.1433837882
401	0.1428177948
402	0.1426427555
403	0.1423350445
404	0.1422003025
405	0.1420610755
406	0.141852055
407	0.1416327773
408	0.1414707178
409	0.1411746237
410	0.1406027718
411	0.1403281567
412	0.1402081361
413	0.1398986402
414	0.139822341
415	0.1393243686
416	0.1392614107
417	0.1390785617
418	0.1389904888
419	0.1389200389
420	0.1386348695
421	0.1379157061
422	0.1378538891
423	0.1375481208
424	0.1374706926
425	0.1369986912
426	0.1365940574
427	0.1363062322
428	0.1362443172
429	0.1358702191
430	0.1357539733
431	0.1355694855
432	0.1349216506
433	0.1344405261
434	0.1342890557
435	0.1338051653
436	0.1336517731
437	0.1334367081
438	0.1333034535
439	0.1331186904
440	0.1329368629
441	0.1325969628
442	0.1323407957
443	0.1322729835
444	0.1320280786
445	0.1316422016
446	0.1315751363
447	0.1315378418
448	0.1313051781
449	0.1310675336
450	0.1309053519
451	0.1306425019
452	0.130528306
453	0.1304225018
454	0.1301550991
455	0.1300806271
456	0.1298836392
457	0.1297265434
458	0.1295538796
459	0.1294022514
460	0.1292699004
461	0.1291846744
462	0.1290821037
463	0.1290038305
464	0.1287704338
465	0.1286447583
466	0.1284511377
467	0.1282863241
468	0.1281541699
469	0.1277704552
470	0.1276846722
471	0.1269753317
472	0.1267388028
473	0.1264862279
474	0.1263319502
475	0.1259635863
476	0.1258709386
477	0.1257334334
478	0.1255637829
479	0.1254495301
480	0.1254214765
481	0.125366713
482	0.1251905588
483	0.1251183628
484	0.1248314206
485	0.1244767563
486	0.1241832911
487	0.1238972795
488	0.1238806191
489	0.1234201303
490	0.12308233
491	0.1229058415
492	0.122463116
493	0.1223851357
494	0.1222851942
495	0.1220380233
496	0.1216214492
497	0.1212216448
498	0.1207158653
499	0.1205122699
500	0.120258543
501	0.1199818881
502	0.1197934634
503	0.1196020394
504	0.1193653653
505	0.1191303056
506	0.1190345935
507	0.1189723521
508	0.1187424845
509	0.1182179084
510	0.1180870384
511	0.1180081528
512	0.1174426086
513	0.1172577433
514	0.1168751834
515	0.1166350119
516	0.116554842
517	0.116266838
518	0.1161913433
519	0.1160466322
520	0.1159811421
521	0.1158626684
522	0.1153906095
523	0.1152187826
524	0.1150403269
525	0.1150161837
526	0.1149211215
527	0.1148510803
528	0.1145803228
529	0.1142854346
530	0.1139087713
531	0.1137652395
532	0.1135333607
533	0.113229375
534	0.1130842197
535	0.1130068443
536	0.1129644709
537	0.1124816531
538	0.1122706866
539	0.1121622647
540	0.1119776374
541	0.1118331034
542	0.1116288922
543	0.1115811228
544	0.111344757
545	0.1110557872
546	0.1108117546
547	0.1105711665
548	0.1102904584
549	0.110092332
550	0.1098704333
551	0.109665296
552	0.1095169188
553	0.1092536269
554	0.1091158107
555	0.1090355383
556	0.1089696431
557	0.1089204097
558	0.1088787428
559	0.1087379983
560	0.1085389734
561	0.10847909
562	0.108386718
563	0.1080828664
564	0.1080212132
565	0.1076938118
566	0.107506346
567	0.107420513
568	0.1072072116
569	0.1071428009
570	0.1070802008
571	0.1070215695
572	0.1069569844
573	0.1068413234
574	0.10673965
575	0.1065704506
576	0.1062996731
577	0.1062387466
578	0.106074067
579	0.105965331
580	0.1058512882
581	0.1054741233
582	0.1054139696
583	0.1052924592
584	0.1052348414
585	0.105213615
586	0.1051551776
587	0.1050917085
588	0.104877111
589	0.1048413477
590	0.1046476227
591	0.1044908851
592	0.1042351879
593	0.104216696
594	0.1040250371
595	0.103887206
596	0.1038560487
597	0.1036090092
598	0.1035921562
599	0.1034714115
600	0.1032243254
601	0.1031505522
602	0.1029289397
603	0.1028088403
604	0.1027177832
605	0.1025787104
606	0.1022283039
607	0.1021104679
608	0.1020676952
609	0.1019189288
610	0.1016069857
611	0.1012940238
612	0.1011883363
613	0.1009025109
614	0.1008258498
615	0.100743838
616	0.100618679
617	0.1002947891
618	0.1002311545
619	0.09995832096
620	0.09986051452
621	0.09956480029
622	0.09937613911
623	0.0993373193
624	0.09926175588
625	0.09904497862
626	0.09900952896
627	0.09899667803
628	0.098910006
629	0.09861783333
630	0.09847093003
631	0.09837247377
632	0.09823313529
633	0.09789242594
634	0.09765008617
635	0.09761704392
636	0.09755437058
637	0.09744482654
638	0.09720819321
639	0.096969899
640	0.09684002586
641	0.09676546755
642	0.09655116681
643	0.09636062825
644	0.09619934256
645	0.0961099778
646	0.0958245708
647	0.09568781918
648	0.09534887616
649	0.09531882351
650	0.0952730572
651	0.095224198
652	0.09518979606
653	0.0951552461
654	0.09513857908
655	0.09495326782
656	0.09481026366
657	0.0947623839
658	0.0943846588
659	0.09429901728
660	0.09425660367
661	0.09389158397
662	0.09382333585
663	0.09343238999
664	0.09334740629
665	0.09327667971
666	0.09315376048
667	0.09305362379
668	0.09294864511
669	0.0928865275
670	0.09271231308
671	0.09252917996
672	0.09245780961
673	0.09235789714
674	0.09229980818
675	0.09219146754
676	0.09200593021
677	0.0919534814
678	0.09169155758
679	0.0916348474
680	0.09153818425
681	0.09136691996
682	0.09133438582
683	0.09112399642
684	0.09082786823
685	0.09077417654
686	0.09066282384
687	0.09056565666
688	0.0904575954
689	0.0904135165
690	0.09025444743
691	0.08993943748
692	0.08987509338
693	0.08963189603
694	0.08951943225
695	0.08937867121
696	0.08933150825
697	0.08920786158
698	0.08904303292
699	0.08899863334
700	0.08892716044
701	0.08882533366
702	0.08873345313
703	0.08854722911
704	0.08852624632
705	0.08842202891
706	0.08827379826
707	0.08811488146
708	0.08802246953
709	0.0880093928
710	0.0879802603
711	0.08793278057
712	0.08786469524
713	0.08775222806
714	0.08768337417
715	0.08759902711
716	0.08745650531
717	0.08726280159
718	0.08719755276
719	0.08711571363
720	0.08707233453
721	0.08698831206
722	0.08669283448
723	0.086615687
724	0.08656909507
725	0.08640977511
726	0.0861813448
727	0.0859461883
728	0.08587737211
729	0.08580109969
730	0.08550527616
731	0.08540763964
732	0.08517727607
733	0.08514039784
734	0.08505733014
735	0.08493954536
736	0.0849140417
737	0.08470838767
738	0.08464028631
739	0.08449040418
740	0.08437245986
741	0.08410428324
742	0.0839682514
743	0.08388869451
744	0.08380221734
745	0.08361118704
746	0.08346898138
747	0.0833975989
748	0.08334980352
749	0.08328911047
750	0.08309718863
751	0.08297085261
752	0.08293560819
753	0.08290857454
754	0.08277816878
755	0.08273293522
756	0.08270337337
757	0.08265188399
758	0.08260400015
759	0.08240225396
760	0.0823187679
761	0.0822576652
762	0.08216475197
763	0.08201121004
764	0.08181737764
765	0.08180448153
766	0.08161275124
767	0.08158466733
768	0.08150602416
769	0.08147530623
770	0.08136556417
771	0.08132984726
772	0.08131687164
773	0.08116353669
774	0.08101903048
775	0.08089967614
776	0.08069312121
777	0.08054199083
778	0.08052546791
779	0.08037726383
780	0.08034036154
781	0.08022095647
782	0.07998973643
783	0.07976389745
784	0.07952921664
785	0.07933246993
786	0.07926746247
787	0.07919855888
788	0.07910780641
789	0.0790566616
790	0.07896110089
791	0.07884549802
792	0.07869474162
793	0.07865547691
794	0.07858230061
795	0.07849043576
796	0.07838269876
797	0.07812950738
798	0.07804151762
799	0.07791524283
800	0.07788909872
801	0.07760780784
802	0.07753898858
803	0.07752385166
804	0.0774709436
805	0.07746132507
806	0.07742196716
807	0.07734338163
808	0.07710021895
809	0.07695117878
810	0.07693705169
811	0.07681703718
812	0.07645206708
813	0.07609253211
814	0.07590820855
815	0.07583658966
816	0.07582453564
817	0.07574005809
818	0.07558956764
819	0.07544808557
820	0.07535793439
821	0.07532497199
822	0.07525917493
823	0.07523660135
824	0.07509077987
825	0.07494672221
826	0.07487992601
827	0.07479094078
828	0.07466608341
829	0.07462964899
830	0.07437954418
831	0.07434843502
832	0.07425858543
833	0.07414674611
834	0.07393686903
835	0.07387007127
836	0.07381994679
837	0.07370932546
838	0.07357792798
839	0.07347814042
840	0.07344423879
841	0.07338242615
842	0.07334310478
843	0.07322294062
844	0.07296183124
845	0.07291453083
846	0.07282404472
847	0.07260651893
848	0.07250598829
849	0.0723895056
850	0.07218517581
851	0.07210286493
852	0.07207217675
853	0.07185716084
854	0.07173267407
855	0.07164429492
856	0.07152588873
857	0.07146391259
858	0.07130666243
859	0.07128062936
860	0.07110272114
861	0.07098031459
862	0.07085781076
863	0.07084517851
864	0.07077569465
865	0.07059715113
866	0.07056865629
867	0.07054402266
868	0.07024217994
869	0.06993941804
870	0.06987880637
871	0.06963215789
872	0.06952432045
873	0.06949558598
874	0.06940693193
875	0.06937103434
876	0.06929137635
877	0.06914372915
878	0.06913290201
879	0.06910600901
880	0.06906178119
881	0.06902333164
882	0.06880195422
883	0.06872816958
884	0.06870518131
885	0.06867348252
886	0.0686374631
887	0.06852607789
888	0.06846151974
889	0.06826813316
890	0.0680414985
891	0.06803140042
892	0.06788842307
893	0.0678143417
894	0.06766731437
895	0.06755401859
896	0.06744093454
897	0.06741055907
898	0.06724514344
899	0.06717200554
900	0.06711457135
901	0.06709409117
902	0.06695159071
903	0.06689748075
904	0.06679195973
905	0.06669810634
906	0.06666289133
907	0.06662392775
908	0.06649972222
909	0.06639920032
910	0.06622104093
911	0.06608349321
912	0.06601043958
913	0.0659801895
914	0.06591955722
915	0.06583045525
916	0.06578294262
917	0.06566115345
918	0.06545664157
919	0.06537512423
920	0.06523924677
921	0.06501281856
922	0.06499646844
923	0.06496034452
924	0.06488037526
925	0.06473042467
926	0.06457009631
927	0.06442911056
928	0.06429219303
929	0.06426003956
930	0.06411802287
931	0.06409088891
932	0.06403822327
933	0.0639756158
934	0.06383144173
935	0.06377646318
936	0.06370560809
937	0.06362224564
938	0.06354974728
939	0.06354113816
940	0.06347396771
941	0.0634498262
942	0.06330891795
943	0.06328406201
944	0.06324220877
945	0.0631624441
946	0.06301306481
947	0.06295931382
948	0.06286344989
949	0.06279046588
950	0.06275208661
951	0.06273244026
952	0.06262365255
953	0.06257601963
954	0.06248634184
955	0.0623428546
956	0.06223390327
957	0.06212668049
958	0.06189551156
959	0.06180123243
960	0.06179061988
961	0.06169364622
962	0.06165466136
963	0.06161534612
964	0.06152026694
965	0.06141919134
966	0.06141379853
967	0.06138381173
968	0.06129455188
969	0.06125321461
970	0.06124765936
971	0.06118665723
972	0.06116329323
973	0.06095877713
974	0.06093191439
975	0.06082685039
976	0.06061501281
977	0.06052503276
978	0.06049084867
979	0.06048384813
980	0.06044035251
981	0.06034383062
982	0.06031754996
983	0.06027519554
984	0.06020922678
985	0.06020393433
986	0.06001985083
987	0.05992440051
988	0.05991656722
989	0.05987061912
990	0.05980602502
991	0.05977021582
992	0.0597628278
993	0.05975592643
994	0.05970558618
995	0.05965463162
996	0.05960428046
997	0.0595998053
998	0.05945092437
999	0.05925852744
